aula,days,start_date,end_date,start_at,end_at,meeting_url,title,description,event_id
A1,"JU, VI",2023-01-16,2023-01-22,17:00,19:00,https://us02web.zoom.us/j/83835821323?pwd=aW43Q2dYWDRQb0RyblJqRzVnVDRCUT09,Capacitación BE U8 - Teoría ,,105
A1,"JU, VI",2023-01-16,2023-01-22,19:00,21:00,https://us02web.zoom.us/j/89777735399?pwd=TDkzN3ZYUlJtVUIvcG9HcVZzVFBCdz09,Capacitación BE U8 - Practica ,,105
A1,SA,2023-01-16,2023-01-22,8:00,10:00,https://us02web.zoom.us/j/82876753331?pwd=ZHY0SzZxWG9QN2l0VC9Sa1IvdU14Zz09,Capacitación SS U12 - Teoría ,,105
A1,SA,2023-01-16,2023-01-22,10:00,13:00,https://us02web.zoom.us/j/84871036032?pwd=cFdlK1V6Q1NRLzBtek9WT2FJRWdwQT09,Capacitación SS U12 - Practica ,,105
A2,"JU, VI",2023-01-16,2023-01-22,17:00,19:00,https://us02web.zoom.us/j/83835821323?pwd=aW43Q2dYWDRQb0RyblJqRzVnVDRCUT09,Capacitación BE U8 - Teoría ,,106
A2,"JU, VI",2023-01-16,2023-01-22,19:00,21:00,https://us02web.zoom.us/j/86948719117?pwd=c0dCMVB1MTRHSkU2cTQzME1xQWFTQT09,Capacitación BE U8 - Practica ,,106
A2,SA,2023-01-16,2023-01-22,8:00,10:00,https://us02web.zoom.us/j/82876753331?pwd=ZHY0SzZxWG9QN2l0VC9Sa1IvdU14Zz09,Capacitación SS U12 - Teoría ,,106
A2,SA,2023-01-16,2023-01-22,13:00,16:00,https://us02web.zoom.us/j/85749147636?pwd=UkNwUVFFRHRmalRsUTZmTVc1d1NaUT09,Capacitación SS U12 - Practica ,,106
A3,"JU, VI",2023-01-16,2023-01-22,15:00,17:00,https://us02web.zoom.us/j/82915804648?pwd=eVRXVnFkSkNuWnNqQWtVR1Z0U1o2Zz09,Capacitación BE U8 - Teoría ,,107
A3,"JU, VI",2023-01-16,2023-01-22,19:00,21:00,https://us02web.zoom.us/j/86948719117?pwd=c0dCMVB1MTRHSkU2cTQzME1xQWFTQT09,Capacitación BE U8 - Practica ,,107
A3,SA,2023-01-16,2023-01-22,8:00,10:00,https://us02web.zoom.us/j/89317567953?pwd=akZGa0xLaG9JbVl0UmE1SWpTam1jdz09,Capacitación SS U12 - Teoría ,,107
A3,SA,2023-01-16,2023-01-22,10:00,13:00,https://us02web.zoom.us/j/83675307516?pwd=Zm1pU1ZNQ1RFMlNGcjhQS01VMTJNUT09,Capacitación SS U12 - Practica ,,107
